TIPOLOGIA,NOME,VIA,CITTA,CAP,PROVINCIA,EMAIL,TELEFONO,FAX,LAT,LONG
Ristorante,La Taverna Di Emma,Via Carlo Salomone Cammeo 50/52,Pisa,56122,Pisa,latavernadiemma@alice.it,,050/555003,43.724,10.392
Ristorante,Oste Scuro Vinosteria,"Via Malenchini, 38","Braccagni, Grosseto",58100,Grosseto,ostescuro@vinosteria.com,0564324068,,42.877,11.058
Ristorante,3 Merli Locanda,"Via Dell'anfiteatro, 15",Lucca,55100,Lucca,info@3merli.eu,0583497340,,43.846,10.506
Ristorante,5ecinque,P.Zza Della Passera 1,Firenze,50100,Firenze,info@5ecinque.it,,,43.771,11.248
Ristorante,8 Etti Osteria,"Via Foscolo, 3",Viareggio,55049,Lucca,info@8etti.it,,,43.872,10.243
Ristorante,A Casa Mia,"Via Calcesana, 10","Ghezzano, San Giuliano Terme",56010,Pisa,ristoranteacasamia@alice.it,,50879265,43.721,10.423
Ristorante,Abacab Ristorante Pizzeria Tordelleria,Via Del Papino 27,"Turano, Massa",54100,Massa Carrara,en.zega@gmail.com,,,44.024,10.143
Ristorante,Acconci Albergo Ristorante,"Piazza Agnolo, 18",Firenzuola,50033,Firenze,aracconci@tiscali.it,3383481933,055819184,44.119,11.379
Ristorante,Acqua Di Toscana San Felice,Via Guastini 9,Pistoia,51100,Pistoia,vieri@sanfelice.org,3460205468,,,
Ristorante,Acquapazza,"Corso Carlo Ginori, 89",Cecina,57023,Livorno,info@ristorantelacquapazza.com,0586621219,,43.303,10.495
Ristorante,Afrodite,Viale Carducci 76,Viareggio,55049,Lucca,info@hotelapolloversilia.it,5841840440,5841841865,43.88,10.236
Ristorante,Agriturismo Bellavista Toscana,Via Aldo Moro N.11,"Localita Bellavista, Lajatico",56030,Pisa,info@agriturismobellavistatoscana.com,3473094930,0587643358,43.478,10.73
Ristorante,Agriturismo Biologico Santegle,"C.S. Sant'egle, 18",Sorano,58010,Grosseto,info@agriturismobiologicotoscana.it,,,,
Ristorante,Agriturismo Biologico Santegle,"C.S. Sant'egle, 18",Sorano,58010,Grosseto,erika@agriturismobiologicotoscana.it,3294250285,0564633561,42.683,11.714
Ristorante,Agriturismo Il Pianaccio,Via Maone E Casello 150,Montale,51037,Pistoia,ilpianaccio@hotmail.com,,,,
Ristorante,Agriturismo Karma,Via Guadagni 18,"Castello Aghinolfi, Montignoso",54038,Massa Carrara,info@agrikarma.it,,585821237,43.983,10.151
Ristorante,Agriturismo Rovignale,"Rovignale Capanna, 492","Capanna, Firenzuola",50033,Firenze,info@rovignale.it,,,44.12,11.379
Ristorante,Ai Bastioni,"Via Ximenes,43",Grosseto,58100,Grosseto,bastioni@hotmail.it,,56429310,42.758,11.113
Ristorante,Ai Canipai,,"Ai Canipai, San Romano In Garfagnana",55038,Lucca,info@aicanipai.eu,3358440814,,44.17,10.346
Ristorante,Al Bimbotto,"Via Di Vorno, 177","Vorno, Capannori",55012,Lucca,info@bimbotto.it,0583971193,0583971451,,
Ristorante,Al Covo,Via Pesciatina 761,"Lappato, Capannori",55010,Lucca,,0583975021,,43.861,10.614
Ristorante,Al Ritrovo Del Platano,Via Provinciale Ponte Di Campia,Gallicano,55027,Lucca,,0583689922,,,
Ristorante,Albego Trattoria La Bruna,"Via Della Fittaccia, 5","Bivigliano, Vaglia",,Firenze,,,055406614,43.896,11.321
Ristorante,Albego Trattoria La Bruna,"Via Della Fittaccia, 5","Bivigliano, Vaglia",,Firenze,info@hotellabruna.com,,055406614,43.896,11.321
Ristorante,Albergo Ristorante Il Giardinetto,Via Roma 155,Fivizzano,54013,Massa Carrara,hotelilgiardinetto@libero.it,,58592060,44.238,10.124
Ristorante,Albergo Ristorante Acconci,Piazza Agnolo 18,Firenzuola,50033,Firenze,ar.acconci@tiscali.it,3391590939,,,
Ristorante,Albergo Ristorante Alpino,"Via Pian Di Novello, 6",Abetone,51021,Pistoia,alpino@abetone.com,0573673062,0573673062,44.119,10.687
Ristorante,Albergo Ristorante Il Cacciatore,"Via G. Marconi, 727",San Marcello Pistoiese,51028,Pistoia,info@albergoilcacciatore.it,0573630533,0573630134,44.057,10.782
Ristorante,Albergo Ristorante Melini,"Via Nazionale, 78","Pracchia, Pistoia",51027,Pistoia,info@albergomelini.com,0573490026,0573490000,44.058,10.909
Ristorante,Albergo Ristorante Planet,Ss 71,"Rigutino Est, Arezzo",52100,Arezzo,info@hotelhp.it,,05759797444,43.467,11.878
Ristorante,Albergo Ristorante Primula,"Via Brennero, 195",Abetone,51021,Pistoia,albergoprimula@abetone.com,,057360254,44.14,10.671
Ristorante,Albergo Ristorante Regina,Via Uccelliera 5/7,Abetone,51021,Pistoia,info@albergoregina.com,,0573607307,44.146,10.665
Ristorante,Albergo Trattoria La Bruna,"Via Della Fittaccia, 5","Bivigliano, Vaglia",,Firenze,info@hotellabruna.com,,055406614,43.896,11.321
Ristorante,Alcide,Viale Marconi 67a,Poggibonsi,53036,Siena,info@hotelalcide.com,0577937501,0577981729,43.473,11.147
Ristorante,Alex Ristorante Enoteca,"Via Versilia, 159","Marina Di Pietrasanta, Pietrasanta",55045,Lucca,info@ristorantealex.it,,,43.923,10.204
Ristorante,Alimentari Roccabianca,"Via Busento, 2",Prato,,Prato,,0574462830,0574461925,43.898,11.088
Ristorante,Allantico Mulino,Piazza San Giovanni 1,Villafranca In Lunigiana,54028,Massa Carrara,melchiorre@lunigiana.net,0187495000,,44.295,9.951
Ristorante,Allosteria La Cinquantina Enoteca,Via Guerrazzi N 57,"La Cinquantina, Cecina",57023,Livorno,ristolacinquantina@gmail.com,0586662189,,43.314,10.491
Ristorante,Alla Piazza Di Sopra,Piazza Immacolata 11,"Filetto, Villafranca In Lunigiana",54028,Massa Carrara,allapiazzadisopra@libero.it,0187493796,,44.302,9.961
Ristorante,Alpino,"Via G.Pascoli, 41",Barga,55051,Lucca,alpino@bargaholiday.com,0583723336,0583723792,44.081,10.474
Ristorante,Amici Miei,Via Santa Maria 1357,Lucca,55100,Lucca,,0583370223,,43.845,10.501
Ristorante,Ammodonostro,Via Della Fratta 20/22,Lucca,55100,Lucca,info@ristoranteammodonostro.com,0583953828,0583953828,43.845,10.509
Ristorante,Ammodonostro,Via Della Fratta 20/22,Lucca,55100,Lucca,ristoranteammodonostro@gmail.com,0583953828,0583953828,43.845,10.509
Ristorante,Amore Mio Antipasteria Pizzeria,Via Francesco Colzi 19,"Catena-quarrata(pistoia);, Quarrata",51039,Pistoia,amoremioanimave@yahoo.it,,,,
Ristorante,Anime E Core Sirena,"Via Lungomare Monte Alla Rena, 3/5/7",Rosignano Marittimo,57016,Livorno,,0586761177,,,
Ristorante,Anselmi Anna Gloria Alimentari,Via Garibaldi 4,"Sassofortino, Roccastrada",58036,Grosseto,dagfi@intrage.it,0564569983,,43.025,11.112
Ristorante,Antica Fattoria Del Grottaione,Via Della Piazza,"Montenero D'orcia, Castel Del Piano",58031,Grosseto,info@anticafattoriadelgrottaione.it,0564954020,05641979798,42.944,11.472
Ristorante,Antica Fiaschetteria Del Chianti,Piazza O.Pierozzi 24,"San Casciano Val Di Pesa Firenze, ",50026,Firenze,info@anticafiaschetteriadelchianti.com,,,,
Ristorante,Antica Locanda Da Luca,"Via Buonarroti, 63",Viareggio,55049,Lucca,info@hotelpinoblu.it,0584961003,0584961003,43.9,10.238
