TIPOLOGIA	NOME	VIA	CITTA'	CAP	PROVINCIA	EMAIL	TELEFONO	FAX	LAT	LONG
RISTORANTE	"""la Taverna di Emma"""	via Carlo Salomone Cammeo 50/52	PISA	56122	Pisa	latavernadiemma@alice.it	050/555003	050/555003	43.7243849	10.3916404
RISTORANTE	"""Oste Scuro VinOsteria"""	Via Malenchini, 38	Braccagni, GROSSETO	58100	Grosseto	ostescuro@vinosteria.com	0564 324068 - 3398781794		42.8767163	11.0582693
RISTORANTE	3 Merli locanda	via dell'Anfiteatro, 15	LUCCA	55100	Lucca	info@3merli.eu	0583.497340		43.8456961	10.5063694
RISTORANTE	5eCINQUE	P.ZZA DELLA PASSERA 1	FIRENZE	50100	Firenze	info@5ecinque.it	+39.055.2741583		43.7710332	11.2480006
RISTORANTE	8 Etti osteria	via Foscolo, 3	VIAREGGIO	55049	Lucca	info@8etti.it	0584.45085		43.8716795	10.2426856
RISTORANTE	A casa mia	Via Calcesana, 10	Ghezzano, SAN GIULIANO TERME	56010	Pisa	ristoranteacasamia@alice.it	50879265	50879265	43.721141	10.422606
RISTORANTE	ABACAB RISTORANTE PIZZERIA TORDELLERIA	via del papino 27	turano, MASSA	54100	Massa Carrara	en.zega@gmail.com	585488408		44.0237365	10.1432255
RISTORANTE	Acconci Albergo Ristorante	Piazza Agnolo, 18	FIRENZUOLA	50033	Firenze	aracconci@tiscali.it	3383481933	055 819184	44.118527	11.37947
RISTORANTE	Acqua di Toscana San Felice	via Guastini 9	PISTOIA	51100	Pistoia	vieri@sanfelice.org	3460205468		-0	-0
RISTORANTE	Acquapazza	Corso Carlo Ginori, 89	CECINA	57023	Livorno	info@ristorantelacquapazza.com	0586 621219		43.3028245	10.4946213
RISTORANTE	Afrodite	viale Carducci 76	VIAREGGIO	55049	Lucca	info@hotelapolloversilia.it	5841840440	5841841865	43.8796813	10.2363965
RISTORANTE	Agriturismo Bellavista Toscana	via Aldo Moro n.11	localit� Bellavista, LAJATICO	56030	Pisa	info@agriturismobellavistatoscana.com	347.3094930	0587.643358	43.477512	10.730477
RISTORANTE	Agriturismo Biologico Sant'Egle	c.s. Sant'egle, 18	SORANO	58010	Grosseto	info@agriturismobiologicotoscana.it	393294250285		-0	-0
RISTORANTE	Agriturismo biologico Sant'Egle	c.s. Sant'Egle, 18	SORANO	58010	Grosseto	erika@agriturismobiologicotoscana.it	3294250285	0564 633561	42.6826307	11.7141592
RISTORANTE	Agriturismo il pianaccio	via MAone e Casello 150	MONTALE	51037	Pistoia	ilpianaccio@hotmail.com	573959875		-0	-0
RISTORANTE	Agriturismo Karma	via Guadagni 18	Castello Aghinolfi, MONTIGNOSO	54038	Massa Carrara	info@agrikarma.it	585821237	585821237	43.9828326	10.150538
RISTORANTE	Agriturismo Rovignale	Rovignale Capanna, 492	Capanna, FIRENZUOLA	50033	Firenze	info@rovignale.it	+39 338 3387603		44.1197838	11.3785546
RISTORANTE	Ai Bastioni	via ximenes,43	GROSSETO	58100	Grosseto	bastioni@hotmail.it	56429310	56429310	42.7581657	11.1132136
RISTORANTE	Ai Canipai		Ai Canipai, SAN ROMANO IN GARFAGNANA	55038	Lucca	info@aicanipai.eu	335 8440814		44.1703028977	10.3457455337
RISTORANTE	Al Bimbotto	Via di Vorno, 177	Vorno, CAPANNORI	55012	Lucca	info@bimbotto.it	0583 971193	0583 971451	-0	-0
RISTORANTE	Al Covo	Via Pesciatina 761	Lappato, CAPANNORI	55010	Lucca		0583 975021		43.860559	10.6136416
RISTORANTE	Al Ritrovo del Platano	Via Provinciale Ponte di Campia	GALLICANO	55027	Lucca		0583 689922		-0	-0
RISTORANTE	Albego Trattoria La Bruna	via della Fittaccia, 5	Bivigliano, VAGLIA		Firenze		055 406614	055 406614	43.896056	11.321064
RISTORANTE	Albego Trattoria La Bruna	via della Fittaccia, 5	Bivigliano, VAGLIA		Firenze	info@hotellabruna.com	055 406614	055 406614	43.896056	11.321064
RISTORANTE	Albergo Ristorante 'Il Giardinetto'	Via Roma 155	FIVIZZANO	54013	Massa Carrara	hotelilgiardinetto@libero.it	0585 92060	58592060	44.237613	10.123916
RISTORANTE	Albergo Ristorante Acconci	Piazza Agnolo 18	FIRENZUOLA	50033	Firenze	ar.acconci@tiscali.it	339/1590939		-0	-0
RISTORANTE	Albergo Ristorante Alpino	Via Pian di Novello, 6	ABETONE	51021	Pistoia	alpino@abetone.com	0573 673062	0573 673062	44.118585	10.687181
RISTORANTE	Albergo Ristorante Il Cacciatore	Via G. Marconi, 727	SAN MARCELLO PISTOIESE	51028	Pistoia	info@albergoilcacciatore.it	0573 630533	0573 630134	44.056516	10.782225
RISTORANTE	Albergo Ristorante Melini	Via Nazionale, 78	Pracchia, PISTOIA	51027	Pistoia	info@albergomelini.com	0573 490026	0573 490000	44.0579458	10.9093306
RISTORANTE	Albergo Ristorante Planet	SS 71	Rigutino Est, AREZZO	52100	Arezzo	info@hotelhp.it	0575 97971	0575 9797444	43.4671668	11.8780255
RISTORANTE	Albergo Ristorante Primula	Via Brennero, 195	ABETONE	51021	Pistoia	albergoprimula@abetone.com	0573 60108	0573 60254	44.140299	10.671191
RISTORANTE	Albergo Ristorante Regina	Via Uccelliera 5/7	ABETONE	51021	Pistoia	info@albergoregina.com	0573.60007  - 0573. 60257	0573.607307	44.146064	10.664875
RISTORANTE	Albergo Trattoria La Bruna	Via della Fittaccia, 5	Bivigliano, VAGLIA		Firenze	info@hotellabruna.com	055 406614	055 406614	43.896056	11.321064
RISTORANTE	Alcide	Viale Marconi 67a	POGGIBONSI	53036	Siena	info@hotelalcide.com	0577 937501	0577 981729	43.4734673	11.1471833
RISTORANTE	ALEX RISTORANTE ENOTECA	Via Versilia, 159	Marina di Pietrasanta, PIETRASANTA	55045	Lucca	info@ristorantealex.it	584746070		43.9231813	10.2039488
RISTORANTE	Alimentari Roccabianca	Via Busento, 2	PRATO		Prato		0574 462830	0574 461925	43.897682	11.087743
RISTORANTE	All'Antico Mulino	Piazza San Giovanni 1	VILLAFRANCA IN LUNIGIANA	54028	Massa Carrara	melchiorre@lunigiana.net	0187 495000		44.2951567	9.9506484
RISTORANTE	All'Osteria la Cinquantina Enoteca	via Guerrazzi n 57	La Cinquantina, CECINA	57023	Livorno	ristolacinquantina@gmail.com	0586/662189		43.3135902	10.4908576
RISTORANTE	Alla Piazza di Sopra	Piazza Immacolata 11	Filetto, VILLAFRANCA IN LUNIGIANA	54028	Massa Carrara	allapiazzadisopra@libero.it	0187/493796		44.3017948	9.9612623
RISTORANTE	Alpino	Via G.Pascoli, 41	BARGA	55051	Lucca	alpino@bargaholiday.com	0583 723336	0583 723792	44.0810759	10.4735466
RISTORANTE	AMICI MIEI	via Santa Maria 1357	LUCCA	55100	Lucca		0583.370223		43.8445738	10.5008226
RISTORANTE	Ammodonostro	Via della Fratta 20/22	LUCCA	55100	Lucca	info@ristoranteammodonostro.com	0583 953828	0583 953828	43.8450401693	10.5087548872
RISTORANTE	Ammodonostro	via della fratta 20/22	LUCCA	55100	Lucca	ristoranteammodonostro@gmail.com	0583 953828	0583 953828	43.8450567	10.508886
RISTORANTE	AMORE MIO ANTIPASTERIA PIZZERIA	VIA FRANCESCO COLZI 19	CATENA-QUARRATA(PISTOIA);, QUARRATA	51039	Pistoia	amoremioanimave@yahoo.it	3924749177		-0	-0
RISTORANTE	Anime e Core Sirena	Via Lungomare Monte alla rena, 3/5/7	ROSIGNANO MARITTIMO	57016	Livorno		0586 761177		-0	-0
RISTORANTE	Anselmi Anna Gloria Alimentari	via Garibaldi 4	Sassofortino, ROCCASTRADA	58036	Grosseto	dagfi@intrage.it	0564 569983		43.02519854	11.11154204
RISTORANTE	Antica Fattoria del Grottaione	Via della Piazza	Montenero D'Orcia, CASTEL DEL PIANO	58031	Grosseto	info@anticafattoriadelgrottaione.it	0564 954020	0564 1979798	42.9439562	11.4723146
RISTORANTE	antica fiaschetteria del chianti	piazza O.Pierozzi 24	san casciano val di pesa firenze, 	50026	Firenze	info�anticafiaschetteriadelchianti.com	55820314		-0	-0
RISTORANTE	Antica Locanda Da Luca	Via Buonarroti, 63	VIAREGGIO	55049	Lucca	info@hotelpinoblu.it	0584 961003	0584 961003	43.900104	10.238385
RISTORANTE	Antica Locanda dell'Angelo	Via Pescheria, 21	LUCCA	55100	Lucca	info@anticalocandellangelo.com	0583 467711	0583 495445	43.842312	10.503367
RISTORANTE	Antica locanda dell'Angelo	via Pescheria, 21	LUCCA	55100	Lucca	mail@anticalocandadellangelo.com	0583.467711		43.8423254	10.5029999
RISTORANTE	Antica Locanda di Sesto	Via Lodovica, 1660	LUCCA	55100	Lucca	info@anticalocandadisesto.it	0583 578181	0583 578181	43.9157144	10.5267736
